Date,Open,High,Low,Close,Adj Close,Volume
2009-08-24,120.099998,120.230003,117.769997,118.220001,87.207420,6235700
2009-08-31,117.099998,118.930000,115.150002,117.459999,86.646774,25309900
2009-09-07,117.940002,119.250000,116.160004,118.050003,87.081993,21828700
2009-09-14,117.000000,122.879997,116.940002,122.110001,90.076950,40859700
2009-09-21,121.029999,122.739998,120.099998,121.080002,89.317146,26232600
2009-09-28,120.519997,122.000000,117.260002,119.019997,87.797523,37380100
2009-10-05,118.900002,126.000000,118.129997,125.930000,92.894836,37825500
2009-10-12,125.440002,128.610001,121.250000,121.639999,89.730255,55978800
2009-10-19,121.760002,124.110001,120.000000,120.360001,88.786041,36292000
2009-10-26,120.610001,123.250000,119.150002,120.610001,88.970428,38785400
2009-11-02,120.769997,123.500000,119.500000,123.489998,91.094948,30790900
2009-11-09,123.919998,127.800003,123.489998,127.029999,94.126846,31065000
2009-11-16,127.169998,128.649994,126.459999,126.959999,94.074951,23482700
2009-11-23,127.699997,128.940002,124.260002,125.699997,93.141342,19106900
2009-11-30,125.120003,128.899994,124.919998,127.250000,94.289856,30307700
2009-12-07,126.879997,129.770004,126.110001,129.679993,96.090439,29242700
2009-12-14,129.649994,129.979996,127.000000,127.910004,94.778908,34452500
2009-12-21,127.800003,130.570007,127.680000,130.570007,96.749939,18700700
2009-12-28,130.990005,132.850006,130.679993,130.899994,96.994438,18075000
2010-01-04,131.179993,132.970001,128.910004,130.850006,96.957375,28639800
2010-01-11,131.059998,132.889999,128.669998,131.779999,97.646492,35873500
2010-01-18,131.630005,134.250000,125.370003,125.500000,92.993134,48810900
2010-01-25,126.330002,127.750000,121.900002,122.389999,90.688683,42786400
2010-02-01,123.230003,126.070000,121.830002,123.519997,91.525970,35063800
2010-02-08,123.150002,124.199997,121.610001,124.000000,91.881645,30088800
2010-02-15,124.910004,128.059998,124.110001,127.190002,94.666931,24433700
2010-02-22,127.300003,128.270004,125.570000,127.160004,94.644608,23624900
2010-03-01,127.500000,129.089996,125.470001,127.250000,94.711594,29153500
2010-03-08,127.059998,128.369995,125.199997,127.940002,95.225151,33736000
